epi_year,epi_week,epi_week_label,Avg_Temp(C),AvgWindspeed(m/s),AvgPrecipitation(mm/day),AvgRelative_Humidity(%)
2023,49,2023-W49,21.90,1.68,64.57,82.14
2023,50,2023-W50,21.85,1.77,17.59,82.00
2023,51,2023-W51,23.55,1.92,4.00,73.13
2023,52,2023-W52,22.46,2.02,16.60,80.90
2024,1,2024-W1,21.97,1.73,30.50,78.08
2024,2,2024-W2,22.49,1.96,18.40,76.34
2024,3,2024-W3,22.56,2.06,4.95,73.70
2024,4,2024-W4,23.44,1.95,20.31,75.51
2024,5,2024-W5,23.58,2.16,12.15,74.75
2024,6,2024-W6,23.87,1.99,17.84,74.24
2024,7,2024-W7,23.82,1.66,33.55,75.91
2024,8,2024-W8,24.57,2.48,6.03,71.88
2024,9,2024-W9,22.41,2.02,93.12,81.17
2024,10,2024-W10,23.53,2.25,23.06,79.97
2024,11,2024-W11,24.59,2.99,1.09,70.16
2024,12,2024-W12,24.84,2.62,3.84,74.36
2024,13,2024-W13,23.19,2.24,48.86,80.94
2024,14,2024-W14,21.95,1.99,42.79,85.61
2024,15,2024-W15,22.67,2.04,75.68,83.77
2024,16,2024-W16,22.60,2.99,45.59,85.16
2024,17,2024-W17,22.52,2.79,11.20,84.62
2024,18,2024-W18,22.49,2.80,22.48,84.10
2024,19,2024-W19,23.01,2.59,23.08,82.05
2024,20,2024-W20,22.88,3.11,6.86,81.49
2024,21,2024-W21,22.32,2.89,15.58,81.70
2024,22,2024-W22,23.26,2.63,8.26,78.95
2024,23,2024-W23,22.07,2.67,25.17,80.36
2024,24,2024-W24,21.46,3.01,18.26,78.00
2024,25,2024-W25,21.84,2.93,19.37,76.99
2024,26,2024-W26,21.16,3.92,1.61,73.49
2024,27,2024-W27,22.12,2.89,22.31,74.43
2024,28,2024-W28,22.01,2.65,11.35,76.66
2024,29,2024-W29,22.45,1.97,3.80,74.29
2024,30,2024-W30,22.21,1.81,22.52,73.22
2024,31,2024-W31,22.22,1.86,23.21,76.18
2024,32,2024-W32,23.20,2.14,5.42,67.88
2024,33,2024-W33,22.79,1.95,35.79,73.42
2024,34,2024-W34,22.23,2.15,4.74,72.12
2024,35,2024-W35,23.40,2.09,15.47,70.35
2024,36,2024-W36,22.91,2.41,19.83,71.64
2024,37,2024-W37,24.26,1.82,16.86,66.33
2024,38,2024-W38,23.09,1.94,88.60,76.89
2024,39,2024-W39,22.69,2.22,18.96,76.36
2024,40,2024-W40,22.53,2.30,38.80,77.72
2024,41,2024-W41,21.82,1.82,37.20,80.43
2024,42,2024-W42,22.05,2.08,62.34,82.33
2024,43,2024-W43,22.75,1.84,32.90,80.31
2024,44,2024-W44,22.46,2.05,11.93,81.11
2024,45,2024-W45,22.14,2.08,29.15,81.48
2024,46,2024-W46,21.93,1.84,33.23,83.40
2024,47,2024-W47,21.94,1.70,96.55,83.69
2024,48,2024-W48,20.88,2.56,14.25,84.65
2024,49,2024-W49,22.10,2.50,17.55,70.70
2024,50,2024-W50,23.45,2.31,7.42,71.08
2024,51,2024-W51,22.94,2.12,45.54,75.80
2024,52,2024-W52,22.37,2.19,24.06,77.80
2025,1,2025-W1,22.94,3,0.89,65.73
